dress,details
patchwork slip dress,"multicolor satin (90% polyester, 10% viscose).  a-line. halter neckline. sleeveless. side zipper closure. 42"" from shoulder to hemline"
beau satin puff sleeve dress,"red satin (100% polyester) hourglass. sweetheart neckline. short sleeves. back zipper closure. 37"" from shoulder to hemline. imported."
eden midi dress,"blue mesh (92% nylon, 8% lycra). sheath. square neckline. sleeveless. 42.5"" from shoulder to hemline. imported."
noon dress,"white silk (60% polyester , 40% polyester). hourglass. mock neck. short sleeves. tie closure. 49"" from shoulder to hemline. imported."
mecca mini dress,"brown mesh (92% nylon, 8% lycra) sheath. squareneck. sleeveless. back zipper closure. 59"" from top of zipper to hemline. imported."
yara sequin gown,"red sequins (65% rayon, 30% nylon, 5% elastane)  sheath gown. mock neck. sleeveless. back zipper closure. see size and fit notes for length measurements. 23"" slit. imported."
monet jacquard midi dress,"blue jacquard (86% polyester, 14% metallic). full skirt. scoop neck. sleeveless. back zipper closure. 51.5"" from shoulder to hemline. imported."
adrienne dress,"multicolored silk (100% silk).hourglass. boat neck. sleeveless. back zipper closure. 54"" from shoulder to hemline. imported."
paige sequin mesh dress,"purple and blue sequins (98% polyester, 2% spandex).  sheath. square neckline. back zipper closure. 46"" from shoulder to hemline. imported."
isabella dress,"black organza (100% polyester). a-line. square neckline. short sleeves. side zipper closure. 47"" from shoulder to hemline. imported."
jen high low dress,"gold crepe (82% acetate, 18% polyester). hourglass. crew neck. sleeveless. pull on. 52"" from shoulder to hemline. imported."
tiger print mini dress,"black and beige tiger printed satin (100% polyester).sheath. mock neck. long sleeves. back zipper closure. 34"" from shoulder to hemline. imported."
lace plunge gown,"black bodice (97% polyester, 3% spandex). gown. v-neck. sleeveless. back zipper closure. 50"" from shoulder to hemline. imported."
isa scallop dress,"black and light pink printed silk (100% silk). sheath. mock neck. long sleeves. back zipper closure. 46"" from shoulder to hemline. imported."
leopard roawn dress,"printed crepe (83% viscose). hourglass. long sleeves. boat neckline. 27"" from top to bottom hemline. imported."
baja quilted midi dress,"white cotton (100% cotton). shift. crew neck. short sleeves. pull-on. 53"" from shoulder to hemline. imported."
halle velvet mini dress,"black velvet (95% polyester, 5% spandex). sheath. sweetheart neckline. sleeveless. back zipper closure. 28"" from shoulder to hemline. imported."
nerida cutout sequin dress,"black spandex (100% polyester).  hourglass. scoop neck. sleeveless. tie closure. 49"" from shoulder to hemline. imported."
bossa lace trim maxi,polka dot linen (100% polyester). maxi. sweetheart neckline. sleeveless. 61
madeleine lace dress,"white lace (100% polyester) sheath. scoop neck. short sleeves. back zipper closure. 42"" from shoulder to hemline. imported."
rustin faux leather gown,"black faux leather (100% polyester)  sheath. strapless. straight neckline. back zipper closure. 50"" from top to hemline. made in the usa."
astrid trench dress,"blue cotton-blend twill (63% cotton, 37% nylon). hourglass. collared neckline. front button closure. 44"" from shoulder to hemline. imported."
bloom cutout maxi,"multicolor chiffon (100% polyester). hourglass. halter neck. sleeveless. back zipper closure. 49.5"" from shoulder to hemline. imported."
moira strapless gown,"black crepe (95% polyester, 5% polyurethane).  column. strapless. sleeveless. back zipper closure. 58"" from shoulder to hemline. made in usa of imported fabric."
moha dress,"brown faux leather (65% polyester, 35% polyurethane). hourglass. off the shoulder neckline. long sleeves. side zipper closure. 26"" from shoulder to hemline. imported."
anita stripe ruffle dress,"black crepe (48% rayon, 34% silk, 18% metallic_fibers).  sheath. v-neck. cap sleeves. back zipper closure. 55.5"" from shoulder to hemline. imported."
don't rub me wrong dress,"black velvet (68% polyester, 24% nylon, 8% spandex) sheath. cowl neck. sleeveless. side zipper closure. 45"" from shoulder to hemline. made in the usa of imported fabric."
alexa asymmetric sequin dress,"silver sequined mesh (100% polyamide).  sheath. one shoulder. long sleeves. back zipper closure. 33"" from shoulder to hemline. imported."
party hop sequin dress,"blue sequins (90% polyester, 10% spandex).  hourglass. v-neck. long sleeves. pull on. 32.5"" from shoulder to hemline. made in usa."
nolana dress,"pink cotton (100% cotton). hourglass. square neck. sleeveless. back zipper closure. 49.5"" from shoulder to hemline. imported"
magenta magic mini dress,"purple spandex (44% cotton, 31% polyamide, 21% polyester, 4% elastane.). sheath. scoop neck. sleeveless. back zipper closure. 33"" from shoulder to hemline. imported. "
red velvet ruffle gown,"red floral chiffon (80% viscose, 20% nylon). a-line. v-neck. short sleeves. tie closure. see size and fit notes for length measurements. imported."
brushed viscose cutout dress,"brown chambray (65% viscose, 32% polyester, 3% elastane). s hourglass. mock neck. long sleeves. back zipper closure. imported."
